Guideline,Section,Topic,Control identifier,Control description
Guidelines for System Hardening,Operating system hardening,PowerShell,1621,Windows PowerShell 2.0 is disabled or removed.
Guidelines for System Hardening,Operating system hardening,PowerShell,1622,PowerShell is configured to use Constrained Language Mode.
Guidelines for System Hardening,Operating system hardening,PowerShell,1623,"PowerShell is configured to use module logging, script block logging and transcription functionality."
Guidelines for System Hardening,Operating system hardening,PowerShell,1624,PowerShell script block logs are protected by Protected Event Logging functionality.
Guidelines for System Hardening,Operating system hardening,PowerShell,1664,Blocked PowerShell script execution events are logged.
Guidelines for System Hardening,Operating system hardening,PowerShell,1665,PowerShell event logs are stored centrally.
Guidelines for System Hardening,Operating system hardening,Host-based Intrusion Prevention System,1341,A HIPS is implemented on workstations.
Guidelines for System Hardening,Operating system hardening,Host-based Intrusion Prevention System,1034,A HIPS is implemented on critical servers and high-value servers.
Guidelines for System Hardening,Operating system hardening,Software firewall,1416,A software firewall is implemented on workstations and servers to restrict inbound and outbound network connections to an organisation-approved set of applications and services.
Guidelines for System Hardening,Operating system hardening,Antivirus software,1417,"Antivirus software is implemented on workstations and servers with:
• signature-based detection functionality enabled and set to a high level
• heuristic-based detection functionality enabled and set to a high level
• reputation rating functionality enabled
• ransomware protection functionality enabled
• detection signatures configured to update on at least a daily basis
• regular scanning configured for all fixed disks and removable media."
Guidelines for System Hardening,Operating system hardening,Device access control software,1418,"If there is no business requirement for reading from removable media and devices, such functionality is disabled via the use of device access control software or by disabling external communication interfaces."
Guidelines for System Hardening,Operating system hardening,Device access control software,0343,"If there is no business requirement for writing to removable media and devices, such functionality is disabled via the use of device access control software or by disabling external communication interfaces."
Guidelines for System Hardening,Operating system hardening,Device access control software,0345,External communication interfaces that allow DMA are disabled.
Guidelines for System Hardening,Operating system hardening,Operating system event logging,0582,"The following events are logged for operating systems:
• application and operating system crashes and error messages
• changes to security policies and system configurations
• successful user logons and logoffs, failed user logons and account lockouts
• failures, restarts and changes to important processes and services
• requests to access internet resources
• security product-related events
• system startups and shutdowns."
Guidelines for System Hardening,Operating system hardening,Operating system event logging,1747,Operating system event logs are stored centrally.
Guidelines for System Hardening,User application hardening,User application selection,0938,"User applications are chosen from vendors that have demonstrated a commitment to secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, secure programming practices, and maintaining the security of their products."
Guidelines for System Hardening,User application hardening,User application releases,1467,"The latest release of office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are used."
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1806,"Default accounts or credentials for user applications, including for any pre-configured accounts, are changed."
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1412,"ACSC or vendor hardening guidance for web browsers, Microsoft Office and PDF software is implemented."
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1470,"Unneeded components, services and functionality of office productivity suites, web browsers, email clients, PDF software and security products are disabled or removed."
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1235,"Add-ons, extensions and plug-ins for office productivity suites, web browsers, email clients, PDF software and security products are restricted to an organisation-approved set."
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1667,Microsoft Office is blocked from creating child processes.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1668,Microsoft Office is blocked from creating executable content.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1669,Microsoft Office is blocked from injecting code into other processes.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1542,Microsoft Office is configured to prevent activation of Object Linking and Embedding packages.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1823,Office productivity suite security settings cannot be changed by users.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1486,Web browsers do not process Java from the internet.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1485,Web browsers do not process web advertisements from the internet.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1666,Internet Explorer 11 does not process content from the internet.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1585,Web browser security settings cannot be changed by users.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1670,PDF software is blocked from creating child processes.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1824,PDF software security settings cannot be changed by users.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1601,Microsoft’s Attack Surface Reduction rules are implemented.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1748,Email client security settings cannot be changed by users.
Guidelines for System Hardening,User application hardening,Hardening user application configurations,1825,Security product security settings cannot be changed by users.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1671,Microsoft Office macros are disabled for users that do not have a demonstrated business requirement.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1488,Microsoft Office macros in files originating from the internet are blocked.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1672,Microsoft Office macro antivirus scanning is enabled.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1673,Microsoft Office macros are blocked from making Win32 API calls.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1674,"Only Microsoft Office macros running from within a sandboxed environment, a Trusted Location or that are digitally signed by a trusted publisher are allowed to execute."
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1487,Only privileged users responsible for validating that Microsoft Office macros are free of malicious code can write to and modify content within Trusted Locations.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1675,Microsoft Office macros digitally signed by an untrusted publisher cannot be enabled via the Message Bar or Backstage View.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1676,Microsoft Office’s list of trusted publishers is validated on an annual or more frequent basis.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1489,Microsoft Office macro security settings cannot be changed by users.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1677,Allowed and blocked Microsoft Office macro execution events are logged.
Guidelines for System Hardening,User application hardening,Microsoft Office macros,1678,Microsoft Office macro event logs are stored centrally.
Guidelines for System Hardening,Server application hardening,Server application selection,1826,"Server applications are chosen from vendors that have demonstrated a commitment to secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, secure programming practices, and maintaining the security of their products."
Guidelines for System Hardening,Server application hardening,Server application releases,1483,The latest release of internet-facing server applications are used.
Guidelines for System Hardening,Server application hardening,Hardening server application configurations,1246,ACSC or vendor hardening guidance for server applications is implemented.
Guidelines for System Hardening,Server application hardening,Hardening server application configurations,1260,"Default accounts or credentials for server applications, including for any pre-configured accounts, are changed."
Guidelines for System Hardening,Server application hardening,Hardening server application configurations,1247,"Unneeded accounts, components, services and functionality of server applications are disabled or removed."
Guidelines for System Hardening,Server application hardening,Hardening server application configurations,1245,All temporary installation files and logs created during server application installation processes are removed after server applications have been installed.
Guidelines for System Hardening,Server application hardening,Restricting privileges for server applications,1249,Server applications are configured to run as a separate account with the minimum privileges needed to perform their functions.
Guidelines for System Hardening,Server application hardening,Restricting privileges for server applications,1250,The accounts under which server applications run have limited access to their underlying server’s file system.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,1827,Microsoft AD DS domain controllers are administered using dedicated domain administrator user accounts that are not used to administer other systems.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,1828,The Print Spooler service is disabled on Microsoft AD DS domain controllers.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,1829,Passwords and cpasswords are not used in Group Policy Preferences.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,1830,security-related events for Microsoft AD DS are logged.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,1831,Microsoft AD DS event logs are stored centrally.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1832,Only service accounts and computer accounts are configured with Service Principal Names (SPNs).
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1833,Service accounts are provisioned with the minimum privileges required and are not members of the domain administrators group or similar highly privileged groups.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1834,Duplicate SPNs do not exist within the domain.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1835,Privileged user accounts are configured as sensitive and cannot be delegated.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1836,User accounts require Kerberos pre-authentication.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1837,User accounts are not configured with password never expires or password not required.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1838,The UserPassword attribute for user accounts is not used.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1839,Account properties accessible by unprivileged users are not used to store passwords.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1840,User account passwords do not use reversible encryption.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1841,Unprivileged user accounts cannot add machines to the domain.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1842,Dedicated service accounts are used to add machines to the domain.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1843,"User accounts with unconstrained delegation are reviewed at least annually, and those without an associated Kerberos SPN or demonstrated business requirement are removed."
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,1844,Computer accounts that are not Microsoft AD SD domain controllers are not trusted for delegation to services.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,1620,Privileged user accounts are members of the Protected Users security group.
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,1845,"When a user account is disabled, it is removed from all security group memberships."
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,1846,The Pre-Windows 2000 Compatible Access security group does not contain user accounts.
Guidelines for System Hardening,Authentication hardening,Authenticating to systems,1546,Users are authenticated before they are granted access to a system and its resources.
Guidelines for System Hardening,Authentication hardening,Insecure authentication methods,1603,Authentication methods susceptible to replay attacks are disabled.
Guidelines for System Hardening,Authentication hardening,Insecure authentication methods,1055,LAN Manager and NT LAN Manager authentication methods are disabled.
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,0974,Multi-factor authentication is used to authenticate unprivileged users of systems.
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1173,Multi-factor authentication is used to authenticate privileged users of systems.
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1504,Multi-factor authentication is used by an organisation’s users if they authenticate to their organisation’s internet-facing services.
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1679,"Multi-factor authentication is used by an organisation’s users if they authenticate to third-party internet-facing services that process, store or communicate their organisation's sensitive data."
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1680,"Multi-factor authentication (where available) is used by an organisation’s users if they authenticate to third-party internet-facing services that process, store or communicate their organisation's non-sensitive data."
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1681,Multi-factor authentication is enabled by default for non-organisational users (but users can choose to opt out) if they authenticate to an organisation’s internet-facing services.
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1505,Multi-factor authentication is used to authenticate users accessing important data repositories.
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1401,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are."
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1682,Multi-factor authentication is phishing-resistant.
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1559,"Memorised secrets used for multi-factor authentication are a minimum of 6 characters, unless more stringent requirements apply."
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1683,Successful and unsuccessful multi-factor authentication events are logged.
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,1684,Multi-factor authentication event logs are stored centrally.
Guidelines for System Hardening,Authentication hardening,Single-factor authentication,0417,"When systems cannot support multi-factor authentication, single-factor authentication using passphrases is implemented instead."
Guidelines for System Hardening,Authentication hardening,Single-factor authentication,0421,"Passphrases used for single-factor authentication are at least 4 random words with a total minimum length of 14 characters, unless more stringent requirements apply."
Guidelines for System Hardening,Authentication hardening,Single-factor authentication,1558,"Passphrases used for single-factor authentication are not a list of categorised words; do not form a real sentence in a natural language; and are not constructed from song lyrics, movies, literature or any other publicly available material."
Guidelines for System Hardening,Authentication hardening,Setting credentials for user accounts,1593,Users provide sufficient evidence to verify their identity when requesting new credentials.
Guidelines for System Hardening,Authentication hardening,Setting credentials for user accounts,1227,Credentials set for user accounts are randomly generated.
Guidelines for System Hardening,Authentication hardening,Setting credentials for user accounts,1594,"Credentials are provided to users via a secure communications channel or, if not possible, split into two parts with one part provided to users and the other part provided to supervisors."
Guidelines for System Hardening,Authentication hardening,Setting credentials for user accounts,1595,Credentials provided to users are changed on first use.
Guidelines for System Hardening,Authentication hardening,Setting credentials for user accounts,1596,"Credentials, in the form of memorised secrets, are not reused by users across different systems."
Guidelines for System Hardening,Authentication hardening,Setting credentials for local administrator accounts and service accounts,1685,"Credentials for local administrator accounts and service accounts are long, unique, unpredictable and managed."
Guidelines for System Hardening,Authentication hardening,Setting credentials for local administrator accounts and service accounts,1619,Service accounts are created as group Managed Service Accounts.
Guidelines for System Hardening,Authentication hardening,Setting credentials for local administrator accounts and service accounts,1795,Credentials for local administrator accounts and service accounts are a minimum of 30 characters.
Guidelines for System Hardening,Authentication hardening,Changing credentials,1590,"Credentials are changed if:
• they are directly compromised
• they are suspected of being compromised
• they appear in an online data breach database
• they are discovered stored on networks in the clear
• they are discovered being transferred across networks in the clear
• membership of a shared account changes
• they have not been changed in the past 12 months."
Guidelines for System Hardening,Authentication hardening,Changing credentials,1847,"Credentials for the Kerberos Key Distribution Center’s service account (KRBTGT) are changed twice, allowing for replication to all Microsoft Active Directory Domain Services domain controllers in-between each change, if:
• the domain has been directly compromised
• the domain is suspected of being compromised
• they have not been changed in the past 12 months."
Guidelines for System Hardening,Authentication hardening,Protecting credentials,0418,"Credentials are kept separate from systems they are used to authenticate to, except for when performing authentication activities."
Guidelines for System Hardening,Authentication hardening,Protecting credentials,1597,Credentials are obscured as they are entered into systems.
Guidelines for System Hardening,Authentication hardening,Protecting credentials,1402,"Credentials stored on systems are protected by a password manager; a hardware security module; or by salting, hashing and stretching them before storage within a database."
Guidelines for System Hardening,Authentication hardening,Protecting credentials,1686,Windows Defender Credential Guard and Windows Defender Remote Credential Guard are enabled.
Guidelines for System Hardening,Authentication hardening,Protecting credentials,1749,Cached credentials are limited to one previous logon.
Guidelines for System Hardening,Authentication hardening,Account lockouts,1403,Accounts are locked out after a maximum of five failed logon attempts.
Guidelines for System Hardening,Authentication hardening,Session termination,0853,"On a daily basis, outside of business hours and after an appropriate period of inactivity, user sessions are terminated and workstations are restarted."
Guidelines for System Hardening,Authentication hardening,Session and screen locking,0428,"Systems are configured with a session or screen lock that:
• activates after a maximum of 15 minutes of user inactivity, or if manually activated by users
• conceals all session content on the screen
• ensures that the screen does not enter a power saving state before the session or screen lock is activated
• requires users to authenticate to unlock the session
• denies users the ability to disable the session or screen locking mechanism."
Guidelines for System Hardening,Authentication hardening,Logon banner,0408,Systems have a logon banner that requires users to acknowledge and accept their security responsibilities before access is granted.
Guidelines for System Hardening,Authentication hardening,Logon banner,0979,Legal advice is sought on the exact wording of logon banners.
Guidelines for System Hardening,Virtualisation hardening,Functional separation between computing environments,1460,"When using a software-based isolation mechanism to share a physical server’s hardware, the isolation mechanism is from a vendor that has demonstrated a commitment to secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, secure programming practices, and maintaining the security of their products."
Guidelines for System Hardening,Virtualisation hardening,Functional separation between computing environments,1604,"When using a software-based isolation mechanism to share a physical server’s hardware, the configuration of the isolation mechanism is hardened by removing unneeded functionality and restricting access to the administrative interface used to manage the isolation mechanism."
Guidelines for System Hardening,Virtualisation hardening,Functional separation between computing environments,1605,"When using a software-based isolation mechanism to share a physical server’s hardware, the underlying operating system is hardened."
Guidelines for System Hardening,Virtualisation hardening,Functional separation between computing environments,1606,"When using a software-based isolation mechanism to share a physical server’s hardware, patches, updates or vendor mitigations for security vulnerabilities are applied to the isolation mechanism and underlying operating system in a timely manner."
Guidelines for System Hardening,Virtualisation hardening,Functional separation between computing environments,1848,"When using a software-based isolation mechanism to share a physical server’s hardware, the isolation mechanism or underlying operating system is replaced when it is no longer supported by a vendor."
Guidelines for System Hardening,Virtualisation hardening,Functional separation between computing environments,1607,"When using a software-based isolation mechanism to share a physical server’s hardware, integrity and log monitoring are performed for the isolation mechanism and underlying operating system in a timely manner."
Guidelines for System Management,System administration,System administration processes and procedures,0042,"System administration processes, and supporting system administration procedures, are developed, implemented and maintained."
Guidelines for System Management,System administration,System administration processes and procedures,1211,"System administrators document requirements for administrative activities, consider potential security impacts, obtain any necessary approvals, notify users of any disruptions or outages, and maintain system and security documentation."
Guidelines for System Management,System administration,Separate privileged operating environments,1380,Privileged users use separate privileged and unprivileged operating environments.
Guidelines for System Management,System administration,Separate privileged operating environments,1687,Privileged operating environments are not virtualised within unprivileged operating environments.
Guidelines for System Management,System administration,Separate privileged operating environments,1688,Unprivileged accounts cannot logon to privileged operating environments.
Guidelines for System Management,System administration,Separate privileged operating environments,1689,Privileged accounts (excluding local administrator accounts) cannot logon to unprivileged operating environments.
Guidelines for System Management,System administration,Administrative infrastructure,1385,Administrative infrastructure is segregated from the wider network.
Guidelines for System Management,System administration,Administrative infrastructure,1750,"Administrative infrastructure for critical servers, high-value servers and regular servers is segregated from each other."
Guidelines for System Management,System administration,Administrative infrastructure,1386,Network management traffic can only originate from administrative infrastructure.
Guidelines for System Management,System administration,Administrative infrastructure,1387,Administrative activities are conducted through jump servers.
Guidelines for System Management,System administration,Administrative infrastructure,1381,Only privileged operating environments can communicate with jump servers.
Guidelines for System Management,System administration,Administrative infrastructure,1388,Only jump servers can communicate with assets requiring administrative activities to be performed.
Guidelines for System Management,System patching,Patch management processes and procedures,1143,"Patch management processes, and supporting patch management procedures, are developed, implemented and maintained."
Guidelines for System Management,System patching,Patch management processes and procedures,0298,"A centralised and managed approach that maintains the integrity of patches or updates, and confirms that they have been applied successfully, is used to patch or update applications, operating systems, drivers and firmware."
Guidelines for System Management,System patching,Software register,1493,"Software registers for workstations, servers, network devices and other ICT equipment are developed, implemented, maintained and verified on a regular basis."
Guidelines for System Management,System patching,Software register,1643,"Software registers contain versions and patch histories of applications, drivers, operating systems and firmware."
Guidelines for System Management,System patching,Scanning for missing patches or updates,1807,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.
Guidelines for System Management,System patching,Scanning for missing patches or updates,1808,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.
Guidelines for System Management,System patching,Scanning for missing patches or updates,1698,A vulnerability scanner is used at least daily to identify missing patches or updates for security vulnerabilities in internet-facing services.
Guidelines for System Management,System patching,Scanning for missing patches or updates,1699,"A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products."
Guidelines for System Management,System patching,Scanning for missing patches or updates,1700,A vulnerability scanner is used at least fortnightly to identify missing patches or updates for security vulnerabilities in other applications.
Guidelines for System Management,System patching,Scanning for missing patches or updates,1701,A vulnerability scanner is used at least daily to identify missing patches or updates for security vulnerabilities in operating systems of internet-facing services.
Guidelines for System Management,System patching,Scanning for missing patches or updates,1702,"A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in operating systems of workstations, servers and network devices."
Guidelines for System Management,System patching,Scanning for missing patches or updates,1752,A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in operating systems of other ICT equipment.
Guidelines for System Management,System patching,Scanning for missing patches or updates,1703,A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in drivers and firmware.
Guidelines for System Management,System patching,When to patch security vulnerabilities,1690,"Patches, updates or vendor mitigations for security vulnerabilities in internet-facing services are applied within two weeks of release, or within 48 hours if an exploit exists."
Guidelines for System Management,System patching,When to patch security vulnerabilities,1691,"Patches, updates or vendor mitigations for security vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within two weeks of release."
Guidelines for System Management,System patching,When to patch security vulnerabilities,1692,"Patches, updates or vendor mitigations for security vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within 48 hours if an exploit exists."
Guidelines for System Management,System patching,When to patch security vulnerabilities,1693,"Patches, updates or vendor mitigations for security vulnerabilities in other applications are applied within one month of release."
Guidelines for System Management,System patching,When to patch security vulnerabilities,1694,"Patches, updates or vendor mitigations for security vulnerabilities in operating systems of internet-facing services are applied within two weeks of release, or within 48 hours if an exploit exists."
Guidelines for System Management,System patching,When to patch security vulnerabilities,1695,"Patches, updates or vendor mitigations for security vulnerabilities in operating systems of workstations, servers and network devices are applied within two weeks of release."
Guidelines for System Management,System patching,When to patch security vulnerabilities,1696,"Patches, updates or vendor mitigations for security vulnerabilities in operating systems of workstations, servers and network devices are applied within 48 hours if an exploit exists."
Guidelines for System Management,System patching,When to patch security vulnerabilities,1751,"Patches, updates or vendor mitigations for security vulnerabilities in operating systems of other ICT equipment are applied within two weeks of release, or within 48 hours if an exploit exists."
Guidelines for System Management,System patching,When to patch security vulnerabilities,1697,"Patches, updates or vendor mitigations for security vulnerabilities in drivers and firmware are applied within two weeks of release, or within 48 hours if an exploit exists."
Guidelines for System Management,System patching,Cessation of support,1704,"Internet-facing services, office productivity suites, web browsers and their extensions, email clients, PDF software, Adobe Flash Player, and security products that are no longer supported by vendors are removed."
Guidelines for System Management,System patching,Cessation of support,0304,Applications that are no longer supported by vendors are removed.
Guidelines for System Management,System patching,Cessation of support,1501,Operating systems that are no longer supported by vendors are replaced.
Guidelines for System Management,System patching,Cessation of support,1753,Network devices and other ICT equipment that are no longer supported by vendors are replaced.
Guidelines for System Management,System patching,Cessation of support,1809,"When applications, operating systems, network devices or other ICT equipment that are no longer supported by vendors cannot be immediately removed or replaced, compensating controls are implemented until such time that they can be removed or replaced."
Guidelines for System Management,Data backup and restoration,Digital preservation policy,1510,"A digital preservation policy is developed, implemented and maintained."
Guidelines for System Management,Data backup and restoration,Data backup and restoration processes and procedures,1547,"Data backup processes, and supporting data backup procedures, are developed, implemented and maintained."
Guidelines for System Management,Data backup and restoration,Data backup and restoration processes and procedures,1548,"Data restoration processes, and supporting data restoration procedures, are developed, implemented and maintained."
Guidelines for System Management,Data backup and restoration,Performing and retaining backups,1511,"Backups of important data, software and configuration settings are performed and retained with a frequency and retention timeframe in accordance with business continuity requirements."
Guidelines for System Management,Data backup and restoration,Performing and retaining backups,1810,"Backups of important data, software and configuration settings are synchronised to enable restoration to a common point in time."
Guidelines for System Management,Data backup and restoration,Performing and retaining backups,1811,"Backups of important data, software and configuration settings are retained in a secure and resilient manner."
Guidelines for System Management,Data backup and restoration,Backup access,1812,Unprivileged accounts cannot access backups belonging to other accounts.
Guidelines for System Management,Data backup and restoration,Backup access,1813,Unprivileged accounts cannot access their own backups.
Guidelines for System Management,Data backup and restoration,Backup access,1705,Privileged accounts (excluding backup administrator accounts) cannot access backups belonging to other accounts.
Guidelines for System Management,Data backup and restoration,Backup access,1706,Privileged accounts (excluding backup administrator accounts) cannot access their own backups.
Guidelines for System Management,Data backup and restoration,Backup modification and deletion,1814,Unprivileged accounts are prevented from modifying and deleting backups.
Guidelines for System Management,Data backup and restoration,Backup modification and deletion,1707,Privileged accounts (excluding backup administrator accounts) are prevented from modifying and deleting backups.
Guidelines for System Management,Data backup and restoration,Backup modification and deletion,1708,Privileged accounts (including backup administrator accounts) are prevented from modifying and deleting backups during their retention period.
Guidelines for System Management,Data backup and restoration,Testing restoration of backups,1515,"Restoration of important data, software and configuration settings from backups to a common point of time is tested as part of disaster recovery exercises."
Guidelines for System Monitoring,Event logging and monitoring,Event logging policy,0580,"An event logging policy is developed, implemented and maintained."
Guidelines for System Monitoring,Event logging and monitoring,Event log details,0585,"For each event logged, the date and time of the event, the relevant user or process, the relevant filename, the event description, and the ICT equipment involved are recorded."
Guidelines for System Monitoring,Event logging and monitoring,Centralised event logging facility,1405,A centralised event logging facility is implemented and event logs are sent to the facility as soon as possible after they occur.
Guidelines for System Monitoring,Event logging and monitoring,Centralised event logging facility,1815,Event logs stored within a centralised event logging facility are protected from unauthorised modification and deletion.
Guidelines for System Monitoring,Event logging and monitoring,Centralised event logging facility,0988,An accurate time source is established and used consistently across systems to assist with identifying connections between events.
Guidelines for System Monitoring,Event logging and monitoring,Event log monitoring,0109,Event logs are analysed in a timely manner to detect cyber security events.
Guidelines for System Monitoring,Event logging and monitoring,Event log monitoring,1228,Cyber security events are analysed in a timely manner to identify cyber security incidents.
Guidelines for System Monitoring,Event logging and monitoring,Event log retention,0859,"Event logs, excluding those for Domain Name System services and web proxies, are retained for at least seven years."
Guidelines for System Monitoring,Event logging and monitoring,Event log retention,0991,Event logs for Domain Name System services and web proxies are retained for at least 18 months.
Guidelines for Software Development,Application development,"Development, testing and production environments",0400,"Development, testing and production environments are segregated."
Guidelines for Software Development,Application development,"Development, testing and production environments",1419,Development and modification of software only takes place in development environments.
Guidelines for Software Development,Application development,"Development, testing and production environments",1420,Data from production environments is not used in a development or testing environment unless the environment is secured to the same level as the production environment.
Guidelines for Software Development,Application development,"Development, testing and production environments",1422,Unauthorised access to the authoritative source for software is prevented.
Guidelines for Software Development,Application development,"Development, testing and production environments",1816,Unauthorised modification of the authoritative source for software is prevented.
Guidelines for Software Development,Application development,Secure software design and development,0401,"Secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, and secure programming practices are used as part of application development."
Guidelines for Software Development,Application development,Secure software design and development,1780,SecDevOps practices are used for application development.
Guidelines for Software Development,Application development,Secure software design and development,1238,Threat modelling is used in support of application development.
Guidelines for Software Development,Application development,Secure software design and development,1796,Files containing executable content are digitally signed as part of application development.
Guidelines for Software Development,Application development,Secure software design and development,1797,"Installers, patches and updates are digitally signed or provided with cryptographic checksums as part of application development."
Guidelines for Software Development,Application development,Secure software design and development,1798,Secure configuration guidance is produced as part of application development.
Guidelines for Software Development,Application development,Software bill of materials,1730,A software bill of materials is produced and made available to consumers of software.
Guidelines for Software Development,Application development,Application security testing,0402,"Applications are comprehensively tested for security vulnerabilities, using both static application security testing and dynamic application security testing, prior to their initial release and following any maintenance activities."
Guidelines for Software Development,Application development,Application security testing,1754,Security vulnerabilities identified in applications are resolved by software developers.
Guidelines for Software Development,Application development,Vulnerability disclosure program,1616,A vulnerability disclosure program is implemented to assist with the secure development and maintenance of products and services.
Guidelines for Software Development,Application development,Vulnerability disclosure program,1755,"A vulnerability disclosure policy is developed, implemented and maintained."
Guidelines for Software Development,Application development,Vulnerability disclosure program,1756,"Vulnerability disclosure processes, and supporting vulnerability disclosure procedures, are developed, implemented and maintained."
Guidelines for Software Development,Application development,Vulnerability disclosure program,1717,A ‘security.txt’ file is hosted for all internet-facing organisational domains to assist in the responsible disclosure of security vulnerabilities in an organisation’s products and services.
Guidelines for Software Development,Web application development,Open Web Application Security Projects,0971,The OWASP Application Security Verification Standard is used in the development of web applications.
Guidelines for Software Development,Web application development,Open Web Application Security Projects,1849,The OWASP Top Ten Proactive Controls are used in the development of web applications.
Guidelines for Software Development,Web application development,Open Web Application Security Projects,1850,The OWASP Top 10 are mitigated in the development of web applications.
Guidelines for Software Development,Web application development,Web application frameworks,1239,Robust web application frameworks are used in the development of web applications.
Guidelines for Software Development,Web application development,Web application interactions,1552,All web application content is offered exclusively using HTTPS.
Guidelines for Software Development,Web application development,Web application programming interfaces,1817,Authentication and authorisation of clients is performed when clients call web APIs that facilitate access to data not authorised for release into the public domain.
Guidelines for Software Development,Web application development,Web application programming interfaces,1818,Authentication and authorisation of clients is performed when clients call web APIs that facilitate modification of data.
