control,question,answer
ISM-1375,What is SHA-2?,SHA-2 is used for the Hash-based Message Authentication Code (HMAC) and pseudorandom function (PRF) for TLS connections ISM-1375
ISM-1380,	What are some examples of privilege separation in system administration?,"	Some examples include using different accounts for administrative tasks such as user management or configuration changes, running processes with limited privileges, and isolating critical systems from less secure ones ISM-1380"
ISM-1380,What does Privileged Users mean? ,"It refers to people who have access to sensitive data or resources, such as administrators of systems - ISM-1380"
ISM-1381,	What are some examples of administrative infrastructures?,"Examples include Active Directory, DNS, DHCP, LDAP, NTP, Samba, SSH, SNMP ISM-1381"
ISM-1385,	What are some examples of administrative infrastructures?,"Examples include Active Directory, DNS servers, DHCP servers, etc ISM-1385"
ISM-1386,	What are some examples of network management traffic?,"Examples include monitoring, troubleshooting, configuration changes, etc ISM-1386"
ISM-1386,What does network management mean? ,"The process of monitoring and controlling network resources, such as routers or switches - ISM-1386"
ISM-1387,	What does ISM-1387 refer to in this context?,	ISM-1387 refers to the administrative infrastructure used by the system administrator ISM-1387
ISM-1388,	What are some examples of administrative activities?,"Examples include adding users or groups, changing passwords, resetting accounts, etc ISM-1388"
ISM-1388,What are some examples of assets that require administrative actions?,"Examples include computers, printers and other network devices ISM-1388"
ISM-1389,	What does ISM-1389 refer to?,	It refers to the standard number of the document which defines the requirements for content filtering. ISM-1389
ISM-1389,What does executed in a sandbox mean?,"It means running code inside of a restricted environment, with limited access and resources, for security purposes ISM-1389"
ISM-1392,	What are some examples of application controls?,Examples of application controls include: ISM-1392
ISM-1392,What are some examples of application controls?,"Application controls include access control, authentication, auditing, encryption, logging, monitoring, patch management, and vulnerability scanning ISM-1392"
ISM-1395,	What are some contractual security requirements with service providers?,Some contractual security requirements include ensuring that all parties involved in providing the service have adequate policies and procedures in place to protect sensitive information. ISM-1395
ISM-1401,	What is multi-factor authentication (MFA)?,"	Multi-Factor Authentication (MFA) is a method of confirming user identity using two or more factors such as knowledge factor, possession factor, inherence factor etc., ISM-1401"
ISM-1402,	What should an organization do to protect its credentials from unauthorized access?,An organization can use a password manager to store passwords securely. ISM-1402
ISM-1403,	What is account lockout?,An account lockout occurs when a user tries to access his/her account but fails multiple times due to incorrect password or other reasons ISM-1403
ISM-1404,	What happens when unprivileged access to systems or applications are suspended due to inactivity?,"When unprivileged access to systems or applications are suspended due to inactivity, users will not have access to those systems until they log back into them again ISM-1404"
ISM-1404,What happens if I don't log into my account for more than 45 days?,Your unprivileged access will be automatically disabled ISM-1404
ISM-1405,What is the purpose of implementing a centralized event logging facility?,"The purpose of implementing a centralized event logging facility is to ensure all events are logged immediately, so that administrators can quickly identify any issues or problems with their system ISM-1405"
ISM-1406,	What is standard operating environment (SOE)?,	Standard operating environments (SOEs) are predefined configurations of hardware and software settings on computers or devices. They provide a consistent user experience across multiple machines and platforms ISM-1406
ISM-1409,	What are some ways to implement ISM-1409 ACSC and vendor guidance to help with OS hardening?,"Implementing ISM-1409 ACSC and vendor guidance can include configuring firewalls, disabling unnecessary services, restricting access to administrative accounts, enabling strong passwords, implementing encryption, and using anti-virus software ISM-1409"
ISM-1409,What does ACSC stand for? ,The Australian Cyber Security Centre - ISM-1409
ISM-1416,	What are some examples of operating systems?,"Examples of operating systems include Windows, MacOS, Linux, Android, iOS ISM-1416"
ISM-1417,	How can you protect your computer from malicious attacks?,"	You can protect your computer from malicious attacks by installing anti-virus software, keeping it up-to-date, running regular backups, avoiding suspicious websites, not clicking on links or attachments in emails unless they're trusted sources, and being careful when downloading files online. ISM-1417"
ISM-1417,What are some features of antivirus software?,"Some common features of antivirus software include real-time scanning, automatic updates, email protection, web filtering, and file quarantine. ISM-1417"
ISM-1417,What are some features of antivirus software?,"Some common features include real-time scanning, automatic updates, email protection, web filtering, and more. ISM-1417"
ISM-1417,	What are some best practices for operating system hardening?,"	Some best practices for operating system hardening include enabling strong passwords, using firewalls, implementing antivirus software, configuring automatic updates, and restricting access to sensitive data. ISM-1417"
ISM-1418,What are some ways to disable external communications?,One way to prevent unauthorized access to your computer system is to disable external communication interfaces. ISM-1418
ISM-1418,	What are some ways in which you can secure your computer against malware attacks?,"	There are many different methods available to protect yourself online. Some of these include using antivirus programs, keeping all operating systems up to date with patches, avoiding suspicious websites, not clicking on links sent through email unless they have been verified as safe, and being careful about what information you share over social networks ISM-1418"
ISM-1418,What are some ways to disable external communication interfaces?,One way to disable external communication interfaces is through the use of device access control software. ISM-1418
ISM-1419,	What are some examples of application development environments?,	Some examples of application development environments include: ISM-1419
ISM-1419,What are some examples of development environments? ,"Examples include IDEs, virtual machines, sandboxes, etc - ISM-1419"
ISM-1420,	What are some best practices when developing applications?,"	Some best practices when developing applications include using secure coding techniques such as input validation, escaping output, avoiding SQL injection attacks, etc., ensuring proper access control mechanisms are in place, implementing encryption where necessary, and conducting regular vulnerability assessments ISM-1420"
ISM-1420,What does control mean? ,Control means limiting access and use of data within a system - ISM-1420
ISM-1422,	What are some ways in which unauthorized access can be prevented from the authoritative source for software?,"	Some ways include using strong passwords, two factor authentication, encryption, firewalls, intrusion detection systems (IDS), anti-virus programs, etc ISM-1422"
ISM-1424,What are some ways web applications can protect themselves from attacks?,"One way is by implementing Content Security Policy (CSP), which allows websites to restrict what resources they load on their pages. Another method is using HTTP Strict Transport Security (HSTS) to ensure secure connections between browsers and servers. Finally, X-Frame-Options prevents cross site scripting attacks by preventing iframes from loading content from other domains ISM-1424"
ISM-1424,	What are some web browser based controls used by web developers when developing web apps?,"Some web browser based controls used by web developers include Content Security Policy (CSP), HTTP Strict Transport Security (HSTS) and Cross Site Frame Busting (XFRAME). ISM-1424"
ISM-1424,What are some ways web applications can protect themselves from attacks?,"One way is by implementing Content Security Policy (CSP), which allows websites to restrict what resources they load on their pages. Another method is using HTTP Strict Transport Security (HSTS) to force browsers to only use secure connections with the website. Finally, X-Frame-Options prevents other sites from embedding content into your site without permission ISM-1424"
ISM-1427,	What are some examples of gateways?,"Some examples of gateways include firewalls, routers, switches, load balancers, proxy servers, VPNs, and network access control (NAC) devices ISM-1427"
ISM-1427,What does gateways do? ,It performs ingress traffic filtering to detect and prevent IP source address spoofing - ISM-1427
ISM-1428,What does unless explicitly required mean?,"It means that unless there are specific requirements for enabling IPv6 tunneling, it will be disabled by default ISM-1428"
ISM-1428,When would you use IPV6 Tunneling?,IPv6 tunneling can be used when there are no native IPv6 networks available or if it is not possible to configure native IPv6 connectivity between two sites ISM-1428
ISM-1429,What does IPv6 tunneling mean? ,"It refers to the process of encapsulating packets with another protocol and sending them over a different type of connection, such as through a VPN or SSH tunnel - ISM-1429"
ISM-1429,How can you overcome this issue?, You can use IPSec or GRE tunnel to create secure communication between two networks ISM-1429
ISM-1430,What does dynamically assigned mean?,"It means that the IP address will be dynamically assigned by a DHCP server, rather than being statically assigned manually or through another method ISM-1430"
ISM-1430,	What is the purpose of using Internet Protocol Version 6 (IPV6)?,The main purpose of using IPV6 is to provide enough address space so that every device on earth can have its own unique IP address ISM-1430
ISM-1431,	What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,"An organization needs to develop a comprehensive risk management program which includes identifying threats, vulnerabilities, impacts and controls. The organization also need to implement appropriate policies and procedures to ensure compliance with regulations and standards. ISM-1431"
ISM-1432,How can service providers ensure continuous availability of online services in case of disasters or other unforeseen events?,"Service providers can use redundancy techniques such as load balancing, clustering, replication, mirroring etc., to ensure continuous availability of online services in case of disasters or other unforeseen events ISM-1432"
ISM-1432,What does domain name mean? ,"It refers to the address of your website, such as example.com or mywebsite.org - ISM-1432"
ISM-1435,What are some of the benefits of availability monitoring?,"The main benefit of availability monitoring is being able to identify potential issues before they become problems, allowing you to take action quickly and minimize downtime. ISM-1435"
ISM-1435,How can service availability be monitored in real time?,Real-time alerts are used to monitor service availability ISM-1435
ISM-1435,What are some of the benefits of availability monitoring?,"The main benefit of availability monitoring is being able to identify potential issues before they become serious problems, allowing you to take action quickly and minimize downtime. ISM-1435"
ISM-1436,How can service providers ensure continuous availability of critical online services in case of disasters or outages?,"Service providers can ensure continuous availability of critical online services by implementing redundancy measures such as backup servers, mirroring data across multiple locations, etc. ISM-1436"
ISM-1437,	What should an organization do to ensure continuous availability of cloud hosted services in case of disasters or outages?,An organization can use multiple data centers located at different geographical locations to host its applications so as to minimize downtime due to natural calamities or other unforeseen events ISM-1437
ISM-1437,What is cloud computing? ,"Cloud computing refers to the delivery of hosted services over the internet, rather than locally on your computer or server - ISM-1437"
ISM-1438,How can service providers ensure continuous access to online services in case of failure or disruption?,Service providers can use Content Delivery Network (CDN) to provide continuous access to online services by caching web pages on multiple servers across different locations ISM-1438
ISM-1438,What is a Content Delivery Network (CDN)?,"A content delivery network (CDN) is a system of distributed servers (network) that deliver web pages and other Internet content to a user based on the geographic locations of the user, the origin of the webpage and the location of the DNS server. ISM-1438"
ISM-1439,	What are some ways in which service continuity can be ensured for online services?,One way to ensure service continuity for online services is by using Content Delivery Networks (CDN). ISM-1439
ISM-1439,What are some benefits of using Content Delivery Network?,One benefit of using content delivery network is avoiding exposure of origin server's IP address by restricting access to only the CDN and authorized management networks ISM-1439
ISM-1441,	What are some examples of denial of service mitigations?,Some examples include: ISM-1441
ISM-1446,	What are some examples of algorithms in use today?,"	Elliptic Curve Digital Signature Algorithm (ECDSA), Elliptic Curve Diffie Hellman Key Exchange (ECDH) ISM-1446"
ISM-1448,	What does ephemeral mean in this context?,	Ephemeral means temporary ISM-1448
ISM-1449,	What is the authentication mechanism used by Secure Shell (SSH)?,The authentication mechanism used by Secure Shell (SSH) is Private Key. ISM-1449
ISM-1451,	What are some types of data and its ownership is documented in contractual arrangements with service providers?,"Some types of data and its ownership is documented in contractual arrangements with service providers include customer information such as names, addresses, phone numbers, email address etc., financial information like credit card details, bank account number, payment history etc., personal information like date of birth, gender, marital status, nationality, race, religion, ethnic origin, political opinions, sexual orientation, health information, criminal records, biometric data etc., intellectual property such as copyrights, patents, trademarks, trade secrets etc., and other sensitive information such as social media posts, location data, browsing histories, search queries etc ISM-1451"
ISM-1452,	What are some examples of cyber supply chain risk management activities?,"Examples include performing a supply chain risk assessment for suppliers of applications, ICT equipment and services in order to assess the impact on a system's security risk profile ISM-1452"
ISM-1453,	What is perfect forward secrecy?,"Perfect Forward Secrecy (PFS), also known as Forward Secrecy or Perfect Privacy, is a cryptographic technique which ensures that even if one key is compromised in future, it cannot be used to decrypt past communications ISM-1453"
ISM-1453,What is Perfect Forward Secrecy? ,Perfect Forward Secrecy (PFS) is used for TLS connections - ISM-1453
ISM-1454,	What is RADIUS over IPSec/TLS used for?,	RADIUS over IPSec/TLS is used for communications between authenticators and a RADIUS server which are encrypted with another layer of encryption ISM-1454
ISM-1458,How does one determine and document the functionality and quality of online services in case of a DOS attack?,"In order to determine and document the functionality and quality of online services in case of a DOS attack, it is important to first identify all critical systems and applications used by the company. Then, create a list of potential threats and vulnerabilities associated with each system or application. Next, develop mitigation plans for these threats and vulnerabilities. Finally, test the effectiveness of your mitigations against real world attacks using penetration testing tools ISM-1458"
ISM-1460,	What are some best practices when developing a virtualization environment?,"	When creating a virtualized environment, it's important to ensure that all components are up-to-date with the latest patches and updates. It's also critical to implement strong access controls and authentication mechanisms in order to prevent unauthorized users from accessing sensitive data or resources. ISM-1460"
ISM-1470,What does control description mean?,Control Description refers to limiting unnecessary features from a system ISM-1470
ISM-1471,Does it require any additional configuration?,"You need to configure the policies and create lists of trusted publishers/products beforehand but after that, everything should run automatically. ISM-1471"
ISM-1471,	What is a data breach?,"	Data Breaches occur when sensitive information such as credit card numbers, social security numbers, passwords, etc., have been stolen from a company's database through hacking or other malicious means ISM-1471"
ISM-1471,Can I use other criteria for blocking apps?,"Yes, you can also block applications based on their product names as well as version numbers. ISM-1471"
ISM-1471,Will it prevent me from installing new updates?,"No, it won’t affect automatic update processes because those are handled separately. ISM-1471"
ISM-1471,Can I use more than one criteria for Application Control?,"Yes, you can also compare the product name against the list of allowed products as well. ISM-1471"
ISM-1471,Why would I want to implement Application Control?,Applications downloaded from unknown sources pose a security risk since they could contain viruses or spyware. ISM-1471
ISM-1471,What is Application Control?,Application Control allows administrators to restrict access to applications based on their publishers or products. ISM-1471
ISM-1471,	What is application control?,	Application Control is a method of controlling access to applications on your computer or network by specifying which users can run them and when they can run them. ISM-1471
ISM-1471,How does it work?,"It works by comparing the publisher name of the application with the list of approved publishers defined in the policy. If there's no match, then the application will be blocked from running. ISM-1471"
ISM-1471,Do I still get alerts when my app tries to make changes to the registry?,"Yes, you do receive notifications about attempted modifications to the Windows Registry even though the application has been restricted. ISM-1471"
ISM-1471,Which versions of Windows support Application Control?,This feature was introduced in Windows 8 and later versions. ISM-1471
ISM-1471,Is this effective against malware?,"No, not all malicious software comes from untrusted sources so Application Control alone cannot protect your system completely. ISM-1471"
ISM-1471,Are there any drawbacks?,"The main disadvantage is that if you have multiple users accessing the same computer, they may encounter different restrictions depending on which user account they log into. ISM-1471"
ISM-1478,	What are some responsibilities of a Chief Information Security Officer (CISO)?,"Some responsibilities of a Chief Information Security Officer include developing and implementing information security policies, managing risk assessments, monitoring and reporting on threats, conducting audits, and training employees in best practices ISM-1478"
ISM-1478,What does a Chief Information Security Officer (CISO) do?,"A CISO oversees their organization's cybersecurity program and ensures its compliance with cybersecurity policies, standards, regulations, and laws ISM-1478"
ISM-1478,What are some guidelines for cyber security roles? ,"1) Ensure your organization's compliance with cybersecurity policies, standards, regulations and legislations - ISM-1478"
ISM-1478,What are some guidelines for developing a cybersecurity document?,Guidelines for developing a cybersecurity document include: 1) Identify the scope of the project; 2) Define the audience; 3) Determine the purpose of the document; 4) Establish the structure of the document; 5) Create a draft outline; 6) Review the content; 7) Finalize the document ISM-1478
ISM-1479,What does it mean for a server to minimize communication?,"It means reducing or limiting the amount of data sent between two systems, such as computers or networks ISM-1479"
ISM-1479,	What are some ways in which functional separation can help reduce server vulnerabilities?,	Functional separation helps reduce server vulnerability by limiting access to critical resources such as data storage or processing power. ISM-1479
ISM-1482,	What are some examples of organisational policies related to Mobile Device Management (MDM)?,Some examples of organizational policies related to MDM include: ISM-1482
ISM-1485,	What are some ways in which you can prevent your browser from processing web ads?,	You can disable cookies or use an extension like Adblock Plus ISM-1485
ISM-1485,What does web browser mean? ,An application used for browsing and viewing content on the World Wide Web - ISM-1485
ISM-1485,How can I block ads on my browser? ,"You can use extensions or add-ons for your browser, such as Adblock Plus and uBlock Origin - ISM-1485"
ISM-1486,	What are some ways in which web browser can prevent java from being processed by the Internet?,	Web browsers can block all active content such as JavaScript or Java applets from running on websites unless they have been explicitly allowed by the user. ISM-1486
ISM-1486,Why does my web browser block java? ,Your web browser blocks java because it may contain malicious code or viruses - ISM-1486
ISM-1488,	What steps can you take to secure your computer against malicious software attacks?,"	You can use antivirus programs, install patches regularly, keep all applications up to date, avoid clicking on suspicious links or attachments, and always back up important data ISM-1488"
ISM-1488,How do I enable macros in documents downloaded from the Internet?,You can allow macros by changing your security settings on your computer or device. ISM-1488
ISM-1488,How do I enable macros in documents downloaded from the Internet?,You can allow macros by changing your security settings and enabling them for specific websites or domains. ISM-1488
ISM-1489,How can I change my Microsoft Office macro security settings?,You cannot change your Microsoft Office macro security settings as they are controlled by administrators and cannot be modified by end-users ISM-1489
ISM-1489,How can user applications be hardened against malicious code execution attacks?,"User applications can be hardened against malicious code execution attacks through various methods such as whitelisting, sandboxing, and virtualization ISM-1489"
ISM-1490,How can you implement application control in your network?,"Implementing application control involves configuring access controls at different levels such as user level, group level or role based level. ISM-1490"
ISM-1492,What does Operating System Exploit Protection mean? ,It means that your operating system has been configured with additional security features designed to prevent malicious software from gaining access and taking control of your computer - ISM-1492
ISM-1492,What does Operating System Exploit Protection mean? ,It means that your operating system has been configured with additional security measures to prevent malicious attacks and viruses from infecting it - ISM-1492
ISM-1492,	What are some ways in which you can protect your computer from malware attacks?,"	There are many different methods available to help prevent malicious software (malware) from infecting your device. Some common steps include keeping all applications up to date with the latest patches, using antivirus programs, avoiding suspicious websites or emails, and not clicking on links sent by unknown sources ISM-1492"
ISM-1493,What does registers mean? ,Registers refer to lists of data used by computers or software programs - ISM-1493
ISM-1493,"	What should an organization do to develop software registers for workstations, servers, network devices and other ICT equipment?","An organization should implement, maintain and verify software registers for workstations, servers, network devices and other ICT equipment on a regular basis ISM-1493"
ISM-1501,	What should an organization do when operating system is no longer supported by vendor?,An organization should replace unsupported OS with new version or migrate to another platform ISM-1501
ISM-1504,What is multi-factor authentication?,"Multi-factor authentication (MFA) is a security process whereby a user provides two or more pieces of evidence to verify his/her identity before being granted access to a service, application or network. ISM-1504"
ISM-1504,What is multi-factor authentication?,"Multi-factor authentication (MFA) is a security process whereby a user provides two or more pieces of evidence to verify his/her identity before being granted access to a service, application or network resource. ISM-1504"
ISM-1504,	What are some examples of multi-factor authentication?,Some examples of multi-factor authentication include using a password with a second factor such as a fingerprint or facial recognition ISM-1504
ISM-1505,What is multi-factor authentication?,"Multi-factor authentication (MFA) is a security process that requires multiple forms of identification from different categories, such as something you know and something you have or are, before granting access to sensitive systems or resources ISM-1505"
ISM-1505,	What are some examples of multi-factor authentication methods?,"Some examples of multi-factor authentication methods include biometrics (fingerprints), smart cards, tokens, PIN codes, SMS messages, etc ISM-1505"
ISM-1506,How can I enable SSH version 2 on my system?,Enable SSH version 2 by editing /etc/sshd_config file ISM-1506
ISM-1507,What happens if I ask for privilege access?,"Your request will be reviewed by security personnel, who may contact you with additional questions or requests for more information before granting your request. ISM-1507"
ISM-1508,	What are some examples of privilege escalation attacks?,"	Some examples of privilege escalation attacks include buffer overflows, race conditions, and denial of service (DoS) attacks ISM-1508"
ISM-1508,What does privilege mean? ,"Access granted to perform certain actions or tasks, such as accessing data or performing administrative functions - ISM-1508"
ISM-1509,What type of event is logged? ,Privileged access - ISM-1509
ISM-1509,	What is privilege escalation attack?,	Privilege Escalation Attack refers to gaining unauthorized access to system resources by exploiting vulnerabilities in existing software or hardware. ISM-1509
ISM-1510,What are some steps involved in developing a digital preservation policy?,"The first step involves identifying what needs to be preserved and why it should be preserved. Next, you need to identify who will have access to the content and how long they can keep it for. Finally, you must decide on which format(s) your data will be stored as so that it remains accessible over time. ISM-1510"
ISM-1510,What are some steps involved in developing a digital preservation policy?,"The first step involves identifying what needs to be preserved and why it should be preserved. Next, you need to identify who will have access to the content and how long they can keep it for. Finally, you must decide on which format(s) the data will be stored in so that it remains accessible over time. ISM-1510"
ISM-1510,	What are some best practices for developing a digital preservation policy?,"Some best practices for developing a digital preservation policy include identifying key stakeholders, defining scope, conducting research on existing policies, creating a draft document, reviewing with stakeholders, finalizing the policy, implementing it, monitoring its effectiveness, and updating as needed ISM-1510"
ISM-1511,What is the control? ,"The control is backups of important data, software and configuration settings - ISM-1511"
ISM-1511,	What should an organization do to perform and retain backups?,An organization should perform regular backups of its critical information and store them securely so they can be restored if needed ISM-1511
ISM-1515,	What are some ways in which you can test your data backup and restore process?,	You can perform regular tests on your backup system by simulating failures or other scenarios such as power outages. You can also use tools like Backup Validator to check if your backups are working properly ISM-1515
ISM-1517,	What are some media destruction methods?,"Some media destruction methods include shredding, pulverizing, incineration, degaussing, and erasure ISM-1517"
ISM-1518,	What are some ways to prepare for service continuity during a DDoS attack?,Some ways to prepare for service continuity during a DDos attack include preparing a static version of your site which can provide limited functionality even if it's being attacked by a large number of users ISM-1518
ISM-1520,	What are some examples of system administrator responsibilities in relation to gateways?,	System Administrator Responsibility includes maintaining the integrity of the gateway by ensuring it remains operational at all times; monitoring the performance of the gateway and taking action when required; managing user access to the gateway; and implementing changes to the gateway as directed by management ISM-1520
ISM-1525,What does register mean? ,"Register means to record or list something, such as a name or address - ISM-1525"
ISM-1525,	What are some responsibilities of a system owner in information systems management?,The responsibility of a system owner includes ensuring that all users have access only to data they need to perform their job functions; maintaining accurate records on user accounts and privileges; monitoring usage patterns and reporting any unusual activity or trends; and providing training to new employees regarding proper use of company resources ISM-1525
ISM-1526,	What are some ways in which system owners can protect systems and their resources from cyber attacks?,"	System owners can protect systems by ensuring they have strong passwords, regularly updating software, using anti-virus programs, backing up data, monitoring logs, and keeping all devices updated with the latest patches ISM-1526"
ISM-1528,What is evaluated firewall? ,An evaluated firewall is a type of firewall that has been tested by independent third parties for its ability to protect against cyber threats - ISM-1528
ISM-1530,What does security container mean? ,Security containers are physical enclosures designed to protect sensitive data from unauthorized access - ISM-1530
ISM-1532,	What is a virtual local area network (VLAN)?,	A virtual local area network (VLAN) is a logical subdivision of a computer network which limits communication between devices on one LAN segment to those devices only. ISM-1532
ISM-1533,What are some steps involved in developing a mobile device management (MDM) policy?,"The first step involves identifying the goals of your MDM policy. Next you should create a list of requirements for devices using the policy. Then you can develop a plan for implementing the policy across all devices. Finally, it's important to maintain the policy by regularly reviewing its effectiveness and updating as needed ISM-1533"
ISM-1533,What are some steps involved in developing a mobile device management (MDM) policy?,"The first step involves identifying the goals of your MDM policy. Next you should create a list of requirements for devices and users. Then you can develop a plan for how to implement these policies on all relevant devices. Finally, it's important to maintain this policy by regularly reviewing its effectiveness and updating as needed ISM-1533"
ISM-1533,	What are some best practices in developing a mobile device management (MDM) policy?,"Some best practices in developing a MDM policy include ensuring it aligns with your company's overall IT policies, defining clear roles and responsibilities, and making sure all employees understand how they can help protect corporate data on personal devices ISM-1533"
ISM-1534,What should you do with used printer ribbon? ,"You should remove it from your device, then destroy it by crushing or shredding - ISM-1534"
ISM-1536,	What is the purpose of web application event logging?,	The purpose of web application event logging is to record information about user activity on websites or web apps ISM-1536
ISM-1537,	What are some examples of events that can be logged in a database?,Some examples of events that can be logged in a database include: ISM-1537
ISM-1537,What types of logs does a database generate? ,"Databases can log errors, warnings and exceptions as well as performance metrics such as CPU usage or disk I/O - ISM-1537"
ISM-1540,What does it mean when DMARC records are configured?,"It means that email messages sent from your domain will be checked against certain criteria, and any message failing those tests will be rejected by the recipient's server. ISM-1540"
ISM-1540,	What does ISM-1540 DMARC records mean?,"It means that email gateways and servers have been configured with domain-based message authentication, reporting and conformance. ISM-1540"
ISM-1542,	What are some examples of user application hardening techniques?,"Examples include disabling macros in MS Word documents, blocking ActiveX controls from running on web pages, enabling strong passwords, etc ISM-1542"
ISM-1544,	What is application control?,Applications control refers to controlling access to applications on your computer or network. It can also refer to limiting what users can run on their computers ISM-1544
ISM-1546,What does control mean? ,"Control refers to the ability of users to restrict or limit access to certain systems, data, or other resources. - ISM-1546"
ISM-1546,	What is authentication hardening?,Authentication hardening refers to strengthening the process of user identification by adding additional layers of protection such as multi factor authentication or biometric verification ISM-1546
ISM-1547,What are some examples of data backup procedures? ,"Examples include backing up files on a regular basis, storing backups offsite or at another location, encrypting sensitive data, and using multiple copies for redundancy - ISM-1547"
ISM-1547,What are some examples of data backup procedures? ,"Examples include regular backups, incremental backups, differential backups, full backups, etc - ISM-1547"
ISM-1548,What is control description?,"Control Description refers to the process of developing, implementing and maintaining data restoration procedures ISM-1548"
ISM-1549,	What are some examples of policies related to media use in organizations?,"Examples include social media guidelines, email etiquette rules, video conferencing protocols ISM-1549"
ISM-1549,What are some steps involved in developing a media management policy?,"The first step involves identifying the purpose of the policy and defining its scope. Next, you should conduct research on existing policies and best practices for similar organizations. Then, create a draft document outlining your proposed policy. Finally, review it with stakeholders and make any necessary revisions before implementing it. ISM-1549"
ISM-1550,What are some of the steps involved in developing ICT equipment disposal processes?,"The first step involves identifying all relevant stakeholders who will be affected by the process. Next, you should conduct research on existing best practices for similar organizations. Then, create a plan with clear goals and objectives. Finally, implement your new process and monitor its effectiveness over time ISM-1550"
ISM-1551,What are some examples of an ICT equipment management policy?,"Examples include ensuring all devices have up-to-date antivirus software installed, regular backups of data, and proper disposal of old hardware ISM-1551"
ISM-1551,What are some examples of an ICT equipment management policy?,"Examples include ensuring all devices have up-to-date antivirus software installed, regular backups of data, and maintaining physical security for hardware. ISM-1551"
ISM-1551,What are some examples of an ICT equipment management policy?,"Examples include ensuring all devices have up-to-date antivirus software installed, regularly backing up data on servers or cloud storage, and having policies for handling lost or stolen devices ISM-1551"
ISM-1552,What does HTTPS stand for? ,Hypertext Transfer Protocol Secure - ISM-1552
ISM-1552,	What are some best practices when developing a secure web application?,"	When developing a secure web application, it's important to ensure all data transmitted between client and server is encrypted via SSL/TLS protocols. ISM-1552"
ISM-1555,	What are some steps you can take before traveling abroad with your mobile devices?,"	Before traveling abroad with your mobile devices, it's recommended to record all details of the mobile devices being taken, such as product types, serial numbers and IMEI numbers; update all operating systems and applications; remove all non-essential accounts, applications and data; apply security configuration settings, such as lock screens; configure remote locate and wipe functionality; enable encryption, including for any removable media; back up all important data and configuration settings ISM-1555"
ISM-1556,	What are some ways in which you can protect your data on your phone while traveling abroad?,	There are several steps one can follow to ensure protection of data on phones when traveling abroad. These include: ISM-1556
ISM-1562,	What are some ways in which video conferencing and internet protocol telephony can be secured?,"Some ways in which video conferencing and internet protocol telephony can be secured include using encryption, authentication, access control, data loss prevention, intrusion detection systems, firewalls, anti-virus software, and network segmentation ISM-1562"
ISM-1562,What does hardening mean? ,Hardening refers to making something more secure or robust by adding additional security measures - ISM-1562
ISM-1563,	What are some examples of system specific security documents?,"System-specific security documents include security policies, standards, procedures, guidelines, plans, reports etc. ISM-1563"
ISM-1563,What are some key components of a security assessment report?,"A security assessment report includes details about the scope of the assessment, findings from the analysis, recommendations on how to improve security, and any other relevant information related to the assessment process ISM-1563"
ISM-1564,	What are some examples of system specific security documents?,"Examples include: System Security Plans (SSP), Risk Assessments, Contingency Planning Documents, Disaster Recovery Plans ISM-1564"
ISM-1564,What are some actions included in a plan of action? ,"The plan should include steps such as implementing new policies or procedures, updating software, training employees on new processes, and monitoring changes over time - ISM-1564"
ISM-1564,What are some actions included in a plan of action? ,"The plan should include steps such as implementing new policies or procedures, updating software, changing passwords, etc - ISM-1564"
ISM-1566,What happens when I use unauthorized access?,"When you use unauthorized access, it will be logged and your actions may result in disciplinary action or termination from employment ISM-1566"
ISM-1566,	What are some examples of privilege escalation attacks?,"	Privilege escalation attacks can include exploiting vulnerabilities in operating system or applications, gaining unauthorized access to sensitive data, denial of service attack, etc ISM-1566"
ISM-1567,What should be done if supplier is identified as high-risk?,High-risk suppliers must not be used ISM-1567
ISM-1568,What does security mean?,Security refers to measures taken to protect people or assets against harm or loss. ISM-1568
ISM-1569,	What are some examples of cyber supply chain risk management activities?,Shared Responsibility Model ISM-1569
ISM-1570,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, network monitoring, data backup and recovery, help desk support, and disaster recovery planning. Cloud services provide access to software applications over the internet without having to install them on your computer or server ISM-1570"
ISM-1571,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, application hosting, network monitoring, data storage, help desk support, etc., while Cloud services provide access to computing resources such as servers, networks, applications, and storage over the internet on demand ISM-1571"
ISM-1571,What are some examples of control descriptions?,One example of a control description would be The right to verify compliance with security requirements is documented in contractual arrangements with service providers. ISM-1571
ISM-1572,Where are my data stored? ,In the regions or availability zones specified by our contracts - ISM-1572
ISM-1572,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, application hosting, network monitoring, help desk support, etc., while Cloud Services provide access to computing resources such as servers, storage, databases, applications, networks, software, analytics, etc. ISM-1572"
ISM-1573,What are some of the requirements for access to log files?,"The organization must have a written agreement with its service provider, which should include details about how they will be able to access their logs. ISM-1573"
ISM-1573,	What are some examples of managed services and cloud services?,"Managed Services include IT infrastructure management, network monitoring, help desk support, application hosting, storage management, disaster recovery planning, and more. Cloud services provide access to computing resources such as servers, networks, applications, and databases over the Internet on demand without having to invest in hardware or software. ISM-1573"
